partition,specht_dimension,multiplicity_in_Sym3W,multiplicity_in_boundary_H
12,1,17,132
11.1,11,24,611
10.2,54,82,2286
10.1.1,55,29,1877
9.3,154,94,4913
9.2.1,320,126,8860
9.1.1.1,165,38,3933
8.4,275,155,7609
8.3.1,891,216,20348
8.2.2,616,160,13514
8.2.1.1,945,105,18260
8.1.1.1.1,330,25,5542
7.5,297,86,7141
7.4.1,1408,271,28423
7.3.2,1925,265,35148
7.3.1.1,2376,237,39738
7.2.2.1,2079,167,32764
7.2.1.1.1,1728,73,23934
7.1.1.1.1.1,462,7,5349
6.6,132,75,3235
6.5.1,1155,183,21544
6.4.2,2673,344,44479
6.4.1.1,3080,202,46368
6.3.3,1650,133,25284
6.3.2.1,5632,340,77854
6.3.1.1.1,3696,127,45328
6.2.2.2,1925,126,24612
6.2.2.1.1,3564,95,40833
6.2.1.1.1.1,2100,39,20803
6.1.1.1.1.1.1,462,4,3616
5.5.2,1320,105,20490
5.5.1.1,1485,134,21607
5.4.3,2112,167,30267
5.4.2.1,5775,300,74135
5.4.1.1.1,3520,103,40046
5.3.3.1,4158,192,50238
5.3.2.2,4455,148,50369
5.3.2.1.1,7700,191,80333
5.3.1.1.1.1,3564,34,31804
5.2.2.2.1,3520,74,33499
5.2.2.1.1.1,3696,40,31026
5.2.1.1.1.1.1,1728,10,12006
5.1.1.1.1.1.1.1,330,3,1744
4.4.4,462,51,6354
4.4.3.1,2970,101,34015
4.4.2.2,2640,126,28895
4.4.2.1.1,4455,85,44007
4.4.1.1.1.1,1925,36,16583
4.3.3.2,2970,69,29962
4.3.3.1.1,4158,84,39174
4.3.2.2.1,5775,95,50903
4.3.2.1.1.1,5632,50,44006
4.3.1.1.1.1.1,2079,10,13415
4.2.2.2.2,1485,30,11810
4.2.2.2.1.1,3080,12,21781
4.2.2.1.1.1.1,2376,8,14548
3.3.3.3,462,19,4290
3.3.3.2.1,2112,27,17161
3.3.3.1.1.1,1650,7,11917
3.3.2.2.2,1320,7,9631
3.3.2.2.1.1,2673,26,18325
3.3.2.1.1.1.1,1925,4,11134
3.3.1.1.1.1.1.1,616,3,2885
3.2.2.2.2.1,1155,4,6960
3.2.2.2.1.1.1,1408,2,7491
2.2.2.2.2.2,132,3,756
2.2.2.2.1.1.1.1,275,1,1132
