q_index,canonical_side_words,m_q,ell_q,F4
0,0000 0000 0000 0000 1111 1111 1111 1111,8,70,331776
1,0000 0000 0000 0001 1110 1111 1111 1111,32,1120,82944
2,0000 0000 0000 0011 1100 1111 1111 1111,24,1120,55296
3,0000 0000 0000 0011 1101 1110 1111 1111,96,3360,46080
4,0000 0000 0000 0111 1011 1101 1110 1111,16,6720,32256
5,0000 0000 0001 0001 1110 1110 1111 1111,16,2520,55296
6,0000 0000 0001 0010 1101 1110 1111 1111,48,10080,49152
7,0000 0000 0001 0011 1100 1110 1111 1111,96,10080,39936
8,0000 0000 0001 0011 1101 1110 1110 1111,96,10080,36864
9,0000 0000 0001 0110 1010 1101 1111 1111,96,10080,38400
10,0000 0000 0001 0110 1011 1101 1110 1111,192,20160,33792
11,0000 0000 0001 0111 1011 1101 1110 1110,64,10080,32256
12,0000 0000 0011 0011 1100 1100 1111 1111,12,2520,70656
13,0000 0000 0011 0011 1100 1101 1110 1111,48,10080,41472
14,0000 0000 0011 0011 1101 1101 1110 1110,24,2520,39936
15,0000 0000 0011 0101 1010 1100 1111 1111,24,10080,39168
16,0000 0000 0011 0101 1010 1101 1110 1111,192,20160,31872
17,0000 0000 0011 0101 1011 1101 1110 1110,96,10080,29952
18,0000 0000 0011 0111 1011 1100 1101 1110,48,20160,33024
19,0000 0001 0010 0011 1100 1101 1110 1111,12,40320,39168
20,0000 0001 0010 0100 1011 1101 1110 1111,32,40320,36096
21,0000 0001 0010 0101 1010 1101 1110 1111,24,40320,29760
22,0000 0001 0010 0101 1011 1100 1110 1111,96,40320,32064
23,0000 0001 0010 0111 1011 1100 1101 1110,48,40320,34176
24,0000 0001 0110 0111 1010 1011 1100 1101,8,40320,30336
25,0000 0011 0101 0110 1001 1010 1100 1111,2,40320,44160
