qid,representative_words,coordinate_orbit_size,labelled_multiplicity,F5
0,"15 15 15 15 15 16 16 16 16 16",16,252,26011238400
1,"14 15 15 15 15 16 16 16 16 17",80,6300,5202247680
41,"14 14 15 15 15 16 16 16 17 17",80,25200,2601123840
14,"13 14 15 15 15 16 16 16 17 18",160,100800,3327713280
3,"12 15 15 15 15 16 16 16 17 18",320,25200,2694021120
56,"13 14 14 15 15 16 16 17 17 18",320,226800,2154332160
7,"12 14 15 15 15 16 16 17 17 18",640,151200,2010562560
6,"13 14 14 14 15 16 17 17 17 18",320,100800,2007244800
2,"13 14 14 14 14 17 17 17 17 18",160,6300,2601123840
85,"13 13 14 14 15 16 17 17 18 18",160,226800,2063646720
63,"12 13 14 15 15 16 17 17 18 18",320,453600,1826979840
19,"12 12 15 15 15 16 17 17 18 18",320,75600,1585889280
55,"13 13 14 14 14 17 17 17 18 18",160,25200,1864581120
18,"12 13 14 14 15 17 17 17 18 18",320,151200,1758412800
62,"12 13 14 15 15 16 16 17 18 19",160,907200,1821450240
64,"11 13 14 15 15 16 16 17 18 20",160,907200,2193039360
15,"11 12 15 15 15 16 16 17 18 20",960,302400,2097561600
5,"8 15 15 15 15 16 16 17 18 20",320,75600,1765048320
86,"11 13 14 14 15 16 17 17 18 20",480,907200,1732730880
67,"11 12 14 15 15 16 17 17 18 20",1920,907200,1643888640
58,"9 14 14 15 15 16 17 17 18 20",960,453600,1834598400
38,"10 12 15 15 15 16 17 17 18 20",960,302400,1538703360
13,"8 14 15 15 15 16 17 17 18 20",960,302400,1600634880
21,"11 13 14 14 14 17 17 17 18 20",480,100800,1821450240
22,"11 12 14 14 15 17 17 17 18 20",1920,302400,1672151040
11,"9 14 14 14 15 17 17 17 18 20",960,100800,1924300800
20,"8 14 14 15 15 17 17 17 18 20",960,151200,1720074240
187,"11 13 13 14 14 17 17 18 18 20",480,226800,1593753600
188,"11 12 13 14 15 17 17 18 18 20",960,907200,1497415680
96,"10 13 13 14 15 17 17 18 18 20",1920,453600,1574584320
118,"11 12 12 15 15 17 17 18 18 20",960,226800,1390264320
