qid,pattern,ell,m,F,zA,zB,kappaB,n_fullspec
0,(5; 5),252,16,26011238400,1,8,200,15
1,(4; 4; 1; 1),6300,160,2601123840,0,-9,-9,7
2,(4; 4; 1; 1),6300,80,5202247680,-3,-20,-20,7
3,(4; 3; 1; 1; 1),25200,480,2105671680,0,28,7,3
4,(4; 3; 1; 1; 1),25200,320,2694021120,0,-60,-15,3
5,(4; 2; 1; 1; 1; 1),75600,320,1765048320,0,-84,-7,1
6,(4; 1; 1; 1; 1; 1; 1),151200,32,1517322240,0,-120,-5,0
7,(3; 3; 1; 1; 1; 1),100800,240,2063646720,0,112,7,3
8,(3; 2; 1; 1; 1; 1; 1),302400,960,1806336000,0,-336,-7,1
9,(3; 2; 1; 1; 1; 1; 1),302400,320,1530593280,0,-336,-7,1
10,(3; 3; 1; 1; 1; 1),100800,480,1822003200,0,112,7,1
11,(3; 2; 1; 1; 1; 1; 1),302400,1920,1706065920,0,-336,-7,0
12,(3; 1; 1; 1; 1; 1; 1; 1),604800,480,1629941760,0,-480,-5,0
13,(3; 3; 2; 2),25200,160,1864581120,0,-68,-17,7
14,(3; 2; 2; 1; 1; 1),151200,960,1630126080,0,-24,-1,3
15,(3; 3; 1; 1; 1; 1),100800,960,1924300800,0,-240,-15,1
16,(3; 2; 2; 1; 1; 1),151200,320,1447649280,0,-360,-15,1
17,(3; 3; 1; 1; 1; 1),100800,480,1821450240,0,-80,-5,3
18,(3; 2; 1; 1; 1; 1; 1),302400,384,1449953280,0,-720,-15,0
19,(3; 2; 1; 1; 1; 1; 1),302400,1920,1561559040,0,-48,-1,1
20,(3; 3; 1; 1; 1; 1),100800,320,2007244800,0,176,11,3
21,(3; 2; 1; 1; 1; 1; 1),302400,1920,1619435520,0,528,11,1
22,(3; 1; 1; 1; 1; 1; 1; 1),604800,1920,1474375680,0,-288,-3,0
23,(3; 2; 2; 1; 1; 1),151200,320,1758412800,0,-168,-7,3
24,(3; 1; 1; 1; 1; 1; 1; 1),604800,960,1490780160,0,96,1,1
25,(3; 1; 1; 1; 1; 1; 1; 1),604800,320,1366917120,0,-480,-5,0
26,(3; 1; 1; 1; 1; 1; 1; 1),604800,960,1261393920,0,480,5,0
27,(3; 3; 1; 1; 1; 1),100800,160,3327713280,0,48,3,3
28,(3; 3; 1; 1; 1; 1),100800,960,2215157760,0,176,11,1
29,(3; 2; 1; 1; 1; 1; 1),302400,1920,1749934080,0,144,3,1
30,(3; 2; 1; 1; 1; 1; 1),302400,960,1350881280,0,144,3,1
31,(3; 2; 1; 1; 1; 1; 1),302400,1920,1672151040,0,-336,-7,1
32,(3; 2; 1; 1; 1; 1; 1),302400,1920,1534464000,0,528,11,0
33,(3; 1; 1; 1; 1; 1; 1; 1),604800,1920,1347425280,0,288,3,0
34,(3; 3; 1; 1; 1; 1),100800,480,2154332160,0,-16,-1,3
35,(3; 2; 1; 1; 1; 1; 1),302400,960,2097561600,0,48,1,1
36,(3; 2; 1; 1; 1; 1; 1),302400,960,1786429440,0,144,3,0
37,(3; 1; 1; 1; 1; 1; 1; 1),604800,1920,1428940800,0,96,1,0
38,(3; 1; 1; 1; 1; 1; 1; 1),604800,640,1633443840,0,480,5,0
39,(3; 3; 2; 2),25200,80,2601123840,4,0,0,7
40,(3; 2; 2; 1; 1; 1),151200,480,1819607040,0,-216,-9,3
41,(3; 2; 2; 1; 1; 1),151200,640,2010562560,0,24,1,3
42,(3; 2; 1; 1; 1; 1; 1),302400,960,1600634880,0,48,1,1
43,(3; 2; 1; 1; 1; 1; 1),302400,160,1437696000,0,-240,-5,0
44,(3; 2; 2; 2; 1),75600,480,1328578560,0,-108,-9,3
45,(3; 2; 1; 1; 1; 1; 1),302400,480,1323048960,0,-432,-9,1
46,(3; 2; 1; 1; 1; 1; 1),302400,1920,1446543360,0,48,1,1
47,(3; 2; 2; 1; 1; 1),151200,960,1269964800,0,24,1,1
48,(3; 2; 1; 1; 1; 1; 1),302400,960,1538703360,0,-240,-5,1
49,(3; 2; 1; 1; 1; 1; 1),302400,1920,1423134720,0,-144,-3,0
50,(3; 2; 1; 1; 1; 1; 1),302400,1920,1262499840,0,48,1,0
51,(3; 2; 1; 1; 1; 1; 1),302400,1920,1322864640,0,-240,-5,0
52,(3; 2; 2; 2; 1),75600,320,1585889280,0,-60,-5,3
53,(3; 2; 2; 1; 1; 1),151200,960,1339637760,0,-120,-5,1
54,(2; 1; 1; 1; 1; 1; 1; 1; 1),1814400,1920,1446420480,0,1440,5,0
55,(2; 1; 1; 1; 1; 1; 1; 1; 1),1814400,960,1377945600,0,-864,-3,0
56,(2; 2; 2; 1; 1; 1; 1),453600,960,1470996480,0,-504,-7,1
57,(2; 2; 1; 1; 1; 1; 1; 1),907200,480,1484144640,0,1584,11,1
58,(2; 2; 1; 1; 1; 1; 1; 1),907200,1920,1447864320,0,1584,11,0
59,(2; 1; 1; 1; 1; 1; 1; 1; 1),1814400,960,1335859200,0,-2592,-9,1
60,(2; 2; 1; 1; 1; 1; 1; 1),907200,960,1643274240,0,432,3,1
61,(2; 1; 1; 1; 1; 1; 1; 1; 1),1814400,3840,1410309120,0,288,1,0
62,(2; 2; 1; 1; 1; 1; 1; 1),907200,480,1732730880,0,432,3,1
