qid,representative_words,coordinate_orbit_size,labelled_multiplicity,F
0,"0 0 7 8 15 16 23 24 31 31",160,907200,1821450240
1,"0 0 7 8 15 16 23 27 28 31",960,1814400,1532928000
2,"0 0 7 11 12 16 23 24 31 31",960,907200,1571512320
3,"0 0 7 7 15 16 24 24 31 31",160,226800,2063646720
4,"0 0 7 7 15 16 24 27 28 31",960,907200,1595228160
5,"0 0 7 12 15 16 19 24 31 31",960,907200,1614151680
6,"0 0 7 10 15 16 21 27 28 31",3840,1814400,1395010560
7,"0 0 3 8 15 16 23 28 31 31",480,907200,1732730880
8,"0 0 7 10 12 16 21 27 31 31",1920,907200,1461411840
9,"0 0 7 7 11 20 24 24 31 31",480,226800,1593753600
10,"0 0 7 7 11 20 24 26 29 31",1920,907200,1395456000
11,"0 3 4 8 15 16 23 26 29 31",960,3628800,1451243520
12,"0 0 7 10 13 19 20 24 31 31",960,907200,1453762560
13,"0 8 10 13 15 16 19 20 23 31",960,3628800,1430085120
14,"0 3 6 8 15 16 21 27 28 31",1920,3628800,1325391360
15,"0 3 7 10 12 16 21 27 28 31",960,3628800,1319447040
16,"0 3 5 8 15 16 23 26 28 31",480,3628800,1364121600
17,"0 3 10 12 15 16 19 21 28 31",240,3628800,1354828800
18,"0 0 7 11 13 18 20 24 31 31",320,907200,1497415680
19,"0 3 8 11 14 16 20 23 29 31",3840,3628800,1363330560
20,"0 3 8 11 15 16 22 23 28 29",1920,3628800,1342210560
21,"0 0 3 7 13 20 24 26 31 31",1920,907200,1447864320
22,"0 3 4 8 15 16 23 27 28 31",160,3628800,1497415680
23,"0 8 11 12 15 16 19 20 23 31",480,3628800,1473054720
24,"0 0 7 11 12 19 20 24 31 31",160,907200,1517322240
25,"0 0 11 12 15 16 19 23 28 31",1920,1814400,1437634560
26,"0 0 7 11 11 20 23 24 28 31",960,907200,1431429120
27,"0 0 3 11 12 16 23 28 31 31",960,907200,1538580480
28,"0 0 11 12 15 16 23 23 27 28",1920,907200,1343201280
29,"0 0 7 12 15 16 23 24 27 31",1920,1814400,1513881600
30,"0 7 8 12 15 16 19 20 27 31",960,3628800,1420216320
31,"0 4 7 8 15 16 23 24 27 31",480,3628800,1496924160
32,"0 0 11 11 15 16 23 23 28 28",960,226800,1329807360
33,"0 0 11 13 15 20 23 23 24 26",3840,907200,1318225920
34,"0 0 7 10 15 20 21 24 27 31",3840,1814400,1399449600
35,"0 4 8 11 15 16 18 23 29 31",1920,3628800,1441658880
36,"0 4 8 13 15 16 18 23 27 31",960,3628800,1478891520
37,"0 0 11 11 13 18 23 23 28 28",480,226800,1297244160
38,"0 0 11 14 15 19 20 23 24 29",3840,1814400,1308119040
39,"0 4 7 8 15 16 19 26 29 31",3840,3628800,1364382720
40,"0 7 8 11 15 16 20 23 26 29",1920,3628800,1372577280
41,"0 0 7 11 11 22 23 24 28 29",1920,907200,1306183680
42,"0 3 7 8 13 16 22 27 28 31",1920,3628800,1302804480
43,"0 3 8 13 15 16 20 23 26 31",1920,3628800,1370856960
44,"0 0 7 11 13 18 23 27 28 28",960,907200,1288826880
45,"0 7 8 13 15 16 19 22 27 28",3840,3628800,1304386560
46,"0 2 7 11 12 16 23 27 28 29",960,3628800,1301867520
47,"0 3 10 12 15 16 21 23 27 28",1920,3628800,1308180480
48,"0 5 6 8 15 16 19 27 29 30",1920,3628800,1272453120
49,"0 5 10 12 15 16 19 22 25 31",480,3628800,1284464640
50,"0 3 6 8 15 16 23 27 28 29",1920,3628800,1309962240
51,"0 2 7 11 12 19 20 24 29 31",320,3628800,1337011200
52,"0 0 6 7 15 19 24 27 28 29",3840,1814400,1320422400
